Accession,Organism_Name,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
MW164660,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool5678,Orthoflavivirus usutuense,10305,partial,Rovigo,Italy,,Culex pipiens,,08/08/2013,,
MW164661,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool5687,Orthoflavivirus usutuense,10305,partial,Rovigo,Italy,,Culex pipiens,,08/08/2013,,
MW164662,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool5744,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,13/08/2013,,
MW164663,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool5778,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,13/08/2013,,
MW164664,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool5827,Orthoflavivirus usutuense,10305,partial,Rovigo,Italy,,Culex pipiens,,13/08/2013,,
MW164665,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool5873,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,13/08/2013,,
MW164666,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool5999,Orthoflavivirus usutuense,10305,partial,Treviso,Italy,,Culex pipiens,,21/08/2013,,
MW164667,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool6009,Orthoflavivirus usutuense,10305,partial,Rovigo,Italy,,Culex pipiens,,21/08/2013,,
MW164668,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool6465,Orthoflavivirus usutuense,10305,partial,Vicenza,Italy,,Culex pipiens,,05/09/2013,,
MW164669,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool6471,Orthoflavivirus usutuense,10305,partial,Vicenza,Italy,,Culex pipiens,,05/09/2013,,
MW164670,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,13pool6472,Orthoflavivirus usutuense,10305,partial,Vicenza,Italy,,Culex pipiens,,05/09/2013,,
MW164671,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1366,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,20/08/2014,,
MW164672,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1388,Orthoflavivirus usutuense,10305,partial,Vicenza,Italy,,Culex pipiens,,22/08/2014,,
MW164673,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1394,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,26/08/2014,,
MW164674,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1419,Orthoflavivirus usutuense,10305,partial,Treviso,Italy,,Culex pipiens,,26/08/2014,,
MW164675,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1423,Orthoflavivirus usutuense,7446,partial,Venezia,Italy,,Culex pipiens,,26/08/2014,,
MW164676,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1478,Orthoflavivirus usutuense,10305,partial,Rovigo,Italy,,Culex pipiens,,02/09/2014,,
MW164677,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1489,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,02/09/2014,,
MW164678,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1494,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,02/09/2014,,
MW164679,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1511,Orthoflavivirus usutuense,10305,partial,Vicenza,Italy,,Culex pipiens,,03/09/2014,,
MW164680,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1698,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,23/09/2014,,
MW164681,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool1703,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,23/09/2014,,
MW164682,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool857,Orthoflavivirus usutuense,10305,partial,Rovigo,Italy,,Culex pipiens,,22/07/2014,,
MW164683,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14pool895,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,22/07/2014,,
MW164684,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,14VIR5467-8,Orthoflavivirus usutuense,10305,partial,Treviso,Italy,,Aves,,02/09/2014,,
MW164685,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15pool1187,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,22/07/2015,,
MW164686,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15pool1335,Orthoflavivirus usutuense,10305,partial,Rovigo,Italy,,Culex pipiens,,03/08/2015,,
MW164687,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15pool1419,Orthoflavivirus usutuense,10305,partial,Vicenza,Italy,,Culex pipiens,,05/08/2015,,
MW164688,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15pool1426,Orthoflavivirus usutuense,10305,partial,Padova,Italy,,Culex pipiens,,06/08/2015,,
MW164689,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15pool1503,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,10/08/2015,,
MW164690,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15pool1564,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,17/08/2015,,
MW164691,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15pool1751,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,02/09/2015,,
MW164692,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15pool1759,Orthoflavivirus usutuense,10305,partial,Treviso,Italy,,Culex pipiens,,02/09/2015,,
MW164693,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15pool1939,Orthoflavivirus usutuense,10305,partial,Udine,Italy,,Culex pipiens,,21/09/2015,,
MW164694,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15VIR4781-31,Orthoflavivirus usutuense,10305,partial,Treviso,Italy,,Turdus iliacus,,15/09/2015,,
MW164695,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15VIR4781-42,Orthoflavivirus usutuense,10305,partial,Treviso,Italy,,Turdus merula,,15/09/2015,,
MW164696,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,15VIR4781-43,Orthoflavivirus usutuense,10305,partial,Treviso,Italy,,Turdus merula,,15/09/2015,,
MW164697,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool1634,Orthoflavivirus usutuense,10305,partial,Padova,Italy,,Culex pipiens,,20/07/2016,,
MW164698,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool1777,Orthoflavivirus usutuense,10305,partial,Gorizia,Italy,,Culex pipiens,,25/07/2016,,
MW164699,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool1839,Orthoflavivirus usutuense,10305,partial,Rovigo,Italy,,Culex pipiens,,01/08/2016,,
MW164700,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool1870,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,01/08/2016,,
MW164701,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool2021,Orthoflavivirus usutuense,10305,partial,Treviso,Italy,,Culex pipiens,,08/08/2016,,
MW164702,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool2106,Orthoflavivirus usutuense,10305,partial,Rovigo,Italy,,Culex pipiens,,16/08/2016,,
MW164703,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool2117,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,16/08/2016,,
MW164704,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool2311,Orthoflavivirus usutuense,10305,partial,Vicenza,Italy,,Culex pipiens,,24/08/2016,,
MW164705,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool2336,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,29/08/2016,,
MW164706,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool2355,Orthoflavivirus usutuense,10305,partial,Udine,Italy,,Culex pipiens,,29/08/2016,,
MW164707,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,16pool2571,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,14/09/2016,,
MW164708,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool103G,Orthoflavivirus usutuense,10305,partial,Vicenza,Italy,,Culex pipiens,,30/08/2017,,
MW164709,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1191,Orthoflavivirus usutuense,10305,partial,Venezia,Italy,,Culex pipiens,,17/07/2017,,
MW164710,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1250,Orthoflavivirus usutuense,10305,partial,Vicenza,Italy,,Culex pipiens,,19/07/2017,,
MW164711,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1252,Orthoflavivirus usutuense,10305,partial,Vicenza,Italy,,Culex pipiens,,19/07/2017,,
MW164712,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1309,Orthoflavivirus usutuense,10305,partial,Treviso,Italy,,Culex pipiens,,24/07/2017,,
MW164713,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1488,Orthoflavivirus usutuense,10305,partial,Padova,Italy,,Culex pipiens,,02/08/2017,,
MW164714,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1493,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,02/08/2017,,
MW164715,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1525,Orthoflavivirus usutuense,10305,partial,Treviso,Italy,,Culex pipiens,,07/08/2017,,
MW164716,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1544,Orthoflavivirus usutuense,10305,partial,Pordenone,Italy,,Culex pipiens,,07/08/2017,,
MW164717,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1609,Orthoflavivirus usutuense,10305,partial,Udine,Italy,,Culex pipiens,,16/08/2017,,
MW164718,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1646,Orthoflavivirus usutuense,8886,partial,Verona,Italy,,Culex pipiens,,16/08/2017,,
MW164719,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1647,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,16/08/2017,,
MW164720,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1653,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,16/08/2017,,
MW164721,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1664,Orthoflavivirus usutuense,10305,partial,Verona,Italy,,Culex pipiens,,16/08/2017,,
MW164722,Usutu virus,,"Zecchin,B., Fusaro,A., Milani,A., Schivo,A., Ravagnan,S., Ormelli,S., Mavian,C., Michelutti,A., Toniolo,F., Barzon,L., Monne,I., Capelli,G., Zamperin,G.","Istituto Zooprofilattico Sperimentale delle Venezie, Division of Comparative Biomedical Sciences",Italy,01/10/2021,17pool1671,Orthoflavivirus usutuense,10305,partial,Padova,Italy,,Culex pipiens,,16/08/2017,,
