"","accession","isolate","collection.date.formatted","collection.date.decimal","iso.country.code","iso.country","iso.subdivision.code","iso.subdivision.name","genotype","host.class","host.order","host.genus","host.species","isolation.source","seq.length","full.length","seq.technology","title","pubmed.id_1","citation_1","region","moltype","pubmed.id_2","pubmed.id_3","pubmed.id_4","pubmed.id_5","pubmed.id_6","citation_2","citation_3","citation_4","citation_5","citation_6","notes","genbank.createdate","is.europe","segment","flags"
"414","MW164693","15pool1939",2015-09-21,2015.72054794521,"IT","Italy","36","Friuli-Venezia Giulia",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 15pool1939 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","UD","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"415","MW164692","15pool1759",2015-09-02,2015.66849315068,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 15pool1759 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","TV","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"416","MW164691","15pool1751",2015-09-02,2015.66849315068,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 15pool1751 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"417","MW164690","15pool1564",2015-08-17,2015.62465753425,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 15pool1564 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"418","MW164689","15pool1503",2015-08-10,2015.60547945205,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 15pool1503 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"419","MW164688","15pool1426",2015-08-06,2015.59452054795,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 15pool1426 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","PD","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"420","MW164687","15pool1419",2015-08-05,2015.59178082192,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 15pool1419 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"421","MW164686","15pool1335",2015-08-03,2015.58630136986,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 15pool1335 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"422","MW164685","15pool1187",2015-07-22,2015.55342465753,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 15pool1187 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"423","MW164684","14VIR5467-8",2014-09-02,2014.66849315068,"IT","Italy","34","Veneto",NA,NA,NA,NA,NA,NA,10305,"nflg","Illumina","Usutu virus isolate 14VIR5467-8 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","TV","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg","host_missing"
"424","MW164683","14pool895",2014-07-22,2014.55342465753,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool895 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"425","MW164682","14pool857",2014-07-22,2014.55342465753,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool857 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"426","MW164681","14pool1703",2014-09-23,2014.72602739726,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool1703 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"427","MW164680","14pool1698",2014-09-23,2014.72602739726,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool1698 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"428","MW164679","14pool1511",2014-09-03,2014.67123287671,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool1511 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"429","MW164678","14pool1494",2014-09-02,2014.66849315068,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool1494 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"430","MW164677","14pool1489",2014-09-02,2014.66849315068,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool1489 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"431","MW164676","14pool1478",2014-09-02,2014.66849315068,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool1478 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"432","MW164675","14pool1423",2014-08-26,2014.64931506849,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,7446,"partial","Illumina","Usutu virus isolate 14pool1423 polyprotein gene, partial cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European",NA,""
"433","MW164674","14pool1419",2014-08-26,2014.64931506849,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool1419 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","TV","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"434","MW164673","14pool1394",2014-08-26,2014.64931506849,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool1394 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"435","MW164672","14pool1388",2014-08-22,2014.63835616438,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool1388 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"436","MW164671","14pool1366",2014-08-20,2014.63287671233,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 14pool1366 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"437","MW164670","13pool6472",2013-09-05,2013.67671232877,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool6472 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"438","MW164669","13pool6471",2013-09-05,2013.67671232877,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool6471 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"439","MW164668","13pool6465",2013-09-05,2013.67671232877,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool6465 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"440","MW164667","13pool6009",2013-08-21,2013.63561643836,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool6009 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"441","MW164666","13pool5999",2013-08-21,2013.63561643836,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool5999 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","TV","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"442","MW164665","13pool5873",2013-08-13,2013.61369863014,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool5873 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"443","MW164664","13pool5827",2013-08-13,2013.61369863014,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool5827 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"444","MW164663","13pool5778",2013-08-13,2013.61369863014,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool5778 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"445","MW164662","13pool5744",2013-08-13,2013.61369863014,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool5744 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"446","MW164661","13pool5687",2013-08-08,2013.6,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool5687 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"447","MW164660","13pool5678",2013-08-08,2013.6,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool5678 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"448","MW164659","13pool5600",2013-08-07,2013.59726027397,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool5600 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","TV","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"449","MW164658","13pool5009",2013-07-31,2013.57808219178,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 13pool5009 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VR","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"450","MW164657","12VIR6787-9",2012-09-03,2012.67213114754,"IT","Italy","34","Veneto",NA,"Aves","Passeriformes","Alauda","arvensis",NA,10305,"nflg","Illumina","Usutu virus isolate 12VIR6787-9 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","TV","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"451","MW164656","12VIR6787-11",2012-09-03,2012.67213114754,"IT","Italy","34","Veneto",NA,"Aves","Passeriformes","Alauda","arvensis",NA,10305,"nflg","Illumina","Usutu virus isolate 12VIR6787-11 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","TV","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"452","MW164655","12VIR6787-10",2012-09-03,2012.67213114754,"IT","Italy","34","Veneto",NA,"Aves","Passeriformes","Alauda","arvensis",NA,10305,"nflg","Illumina","Usutu virus isolate 12VIR6787-10 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","TV","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"453","MW164654","12VIR6777-9",2012-09-05,2012.67759562842,"IT","Italy","34","Veneto",NA,"Aves","Passeriformes","Turdus","pilaris",NA,10305,"nflg","Illumina","Usutu virus isolate 12VIR6777-9 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","PD","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"454","MW164653","12pool2653",2012-09-05,2012.67759562842,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2653 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"455","MW164652","12pool2628",2012-09-05,2012.67759562842,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2628 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"456","MW164651","12pool2626",2012-09-05,2012.67759562842,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2626 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"457","MW164650","12pool2586",2012-08-23,2012.64207650273,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2586 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","TV","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"458","MW164649","12pool2412",2012-08-22,2012.6393442623,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2412 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","RO","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"459","MW164648","12pool2316",2012-08-22,2012.6393442623,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2316 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"460","MW164647","12pool2262",2012-08-07,2012.59836065574,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2262 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"461","MW164646","12pool2249",2012-08-07,2012.59836065574,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2249 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VI","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
"462","MW164645","12pool2214",2012-08-07,2012.59836065574,"IT","Italy","34","Veneto",NA,"Insecta","Diptera","Culex","pipiens",NA,10305,"nflg","Illumina","Usutu virus isolate 12pool2214 polyprotein gene, complete cds",34513027,"Virus Evol 7 (1), veab048 (2021)","VE","rna",NA,NA,NA,NA,NA,"Submitted (23-OCT-2020) Division of Comparative Biomedical Sciences, Istituto Zooprofilattico Sperimentale delle Venezie, Viale dell'Universita, 10, Legnaro, Padova 35020, Italy",NA,NA,NA,NA,NA,2021-10-01,"European","nflg",""
